Customer,State,State - Cleaned,GENDER,Gender (Clean),Education,Education (Clean), Customer Lifetime Value , CLV - Cleaned , Income , Income (Cleaned) , Monthly Premium Auto , Number of Open Complaints ,Number of Open Complaints,Policy Type,Vehicle Class, Total Claim Amount ,,,State,,,NA,NA,,Master,Masters,,Policy Type,,Vehicle Class
RB50392,Washington,Washington,NA,NA,Master,Masters,," £7,910.08 ", £-   ," £39,295.70 "," 1,000 ",1/0/00,,Personal Auto,Four-Door Car, £2.70 ,,,Washington,Washington,,F,Female,,Bachelor,Bachelors,,Personal Auto,,Four-Door Car
QZ44356,Arizona,Arizona,F,Female,Bachelor,Bachelors," £6,979.54 "," £6,979.54 ", £-   ," £39,295.70 ", 94 ,1/0/00,,Personal Auto,Four-Door Car," £1,131.46 ",,,Arizona,Arizona,,M,Male,,High School or Below,High School or Below,,Corporate Auto,,Two-Door Car
AI49188,Nevada,Nevada,F,Female,Bachelor,Bachelors," £12,887.43 "," £12,887.43 "," £48,767.00 "," £48,767.00 ", 108 ,1/0/00,,Personal Auto,Two-Door Car, £566.47 ,,,Nevada,Nevada,,Femal,Female,,College,College,,Special Auto,,SUV
WW63253,California,California,M,Male,Bachelor,Bachelors," £7,645.86 "," £7,645.86 ", £-   ," £39,295.70 ", 106 ,1/0/00,,Corporate Auto,SUV, £529.88 ,,,California,California,,Male,Male,,Bachelors,Bachelors,,,,Luxury SUV
GA49547,Washington,Washington,M,Male,High School or Below,High School or Below," £5,363.08 "," £5,363.08 "," £36,357.00 "," £36,357.00 ", 68 ,1/0/00,,Personal Auto,Four-Door Car, £17.27 ,,,Oregon,Oregon,,female,Female,,Doctor,Doctor,,,,Sports Car
OC83172,Oregon,Oregon,F,Female,Bachelor,Bachelors," £8,256.30 "," £8,256.30 "," £62,902.00 "," £62,902.00 ", 69 ,1/0/00,,Personal Auto,Two-Door Car, £159.38 ,,,Cali,California,,,,,,,,,,Luxury Car
XZ87318,Oregon,Oregon,F,Female,College,College," £5,380.90 "," £5,380.90 "," £55,350.00 "," £55,350.00 ", 67 ,1/0/00,,Corporate Auto,Four-Door Car, £321.60 ,,,AZ,Arizona,,,,,,,,,,
CF85061,Arizona,Arizona,M,Male,Master,Masters," £7,216.10 "," £7,216.10 ", £-   ," £39,295.70 ", 101 ,1/0/00,,Corporate Auto,Four-Door Car, £363.03 ,,,WA,Washington,,,,,,,,,,
DY87989,Oregon,Oregon,M,Male,Bachelor,Bachelors," £24,127.50 "," £24,127.50 "," £14,072.00 "," £14,072.00 ", 71 ,1/0/00,,Corporate Auto,Four-Door Car, £511.20 ,,,,,,,,,,,,,,
BQ94931,Oregon,Oregon,F,Female,College,College," £7,388.18 "," £7,388.18 "," £28,812.00 "," £28,812.00 ", 93 ,1/0/00,,Special Auto,Four-Door Car, £425.53 ,,,,,,,,,,,,,,
