Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount
RB50392;Washington;NA;Master;; -     ; 10.000.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 2.704.934   
QZ44356;Arizona;Female;Bachelor;697953.59%; -     ; 940.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 1.131.464.935   
AI49188;Nevada;Female;Bachelor;1288743.17%; 48.767,00   ; 1.080.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 566.472.247   
WW63253;California;Male;Bachelor;764586.18%; -     ; 1.060.000.000.000   ;1/0/00;Corporate Auto;SUV; 529.881.344   
GA49547;Washington;Male;High School or Below;536307.65%; 36.357,00   ; 680.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 17.269.323   
OC83172;Oregon;Female;Bachelor;825629.78%; 62.902,00   ; 690.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 159.383.042   
XZ87318;Oregon;Female;College;538089.86%; 55.350,00   ; 670.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 321.6 
CF85061;Arizona;Male;Master;721610.03%; -     ; 1.010.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 36.302.968   
DY87989;Oregon;Male;Bachelor;2412750.40%; 14.072,00   ; 710.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 511.2 
BQ94931;Oregon;Female;College;738817.81%; 28.812,00   ; 930.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 425.527.834   
SX51350;California;Male;College;473899.20%; -     ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 482.4 
VQ65197;California;NA;College;819719.71%; -     ; 1.100.000.000.000   ;1/0/00;Personal Auto;SUV; 528   
DP39365;California;NA;Master;879879.70%; 77.026,00   ; 1.100.000.000.000   ;01/02/2000;Corporate Auto;Four-Door Car; 472.029.737   
SJ95423;Arizona;NA;High School or Below;881901.89%; 99.845,00   ; 1.100.000.000.000   ;01/01/2000;Corporate Auto;SUV; 528   
IL66569;California;NA;College;538443.17%; 83.689,00   ; 700.000.000.000   ;01/02/2000;Corporate Auto;Four-Door Car; 307.139.132   
BW63560;Oregon;NA;Bachelor;746313.94%; 24.599,00   ; 640.000.000.000   ;01/01/2000;Corporate Auto;Four-Door Car; 42.920.271   
FV94802;Nevada;NA;High School or Below;256686.78%; 25.049,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 454.245.098   
OE15005;California;NA;College;394524.16%; 28.855,00   ; 1.010.000.000.000   ;1/0/00;Personal Auto;SUV; 647.442.031   
WC83389;Oregon;NA;College;571033.31%; 51.148,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 308.981.664   
FL50705;California;NA;High School or Below;816261.71%; 66.140,00   ; 1.010.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 484.8 
