CUSTOMER,STATE,GENDER,EDUCATION,INCOME,MONTHLY_PREMIUM_AUTO,POLICY_TYPE,VEHICLE_CLASS,TOTAL_CLAIM_AMOUNT
RB50392,Washington,NA,Master,0,"$1,000.00",Personal Auto,Four-Door Car,$2.70
QZ44356,Arizona,F,Bachelor,0,$94.00,Personal Auto,Four-Door Car,"$1,131.46"
AI49188,Nevada,F,Bachelor,48767,$108.00,Personal Auto,Two-Door Car,$566.47
WW63253,California,M,Bachelor,0,$106.00,Corporate Auto,SUV,$529.88
GA49547,Washington,M,High School or Below,36357,$68.00,Personal Auto,Four-Door Car,$17.27
OC83172,Oregon,F,Bachelor,62902,$69.00,Personal Auto,Two-Door Car,$159.38
XZ87318,Oregon,F,College,55350,$67.00,Corporate Auto,Four-Door Car,$321.60
CF85061,Arizona,M,Master,0,$101.00,Corporate Auto,Four-Door Car,$363.03
DY87989,Oregon,M,Bachelor,14072,$71.00,Corporate Auto,Four-Door Car,$511.20
BQ94931,Oregon,F,College,28812,$93.00,Special Auto,Four-Door Car,$425.53
SX51350,California,M,College,0,$67.00,Personal Auto,Four-Door Car,$482.40
VQ65197,California,NA,College,0,$110.00,Personal Auto,SUV,$528.00
DP39365,California,NA,Master,77026,$110.00,Corporate Auto,Four-Door Car,$472.03
SJ95423,Arizona,NA,High School or Below,99845,$110.00,Corporate Auto,SUV,$528.00
IL66569,California,NA,College,83689,$70.00,Corporate Auto,Four-Door Car,$307.14
BW63560,Oregon,NA,Bachelor,24599,$64.00,Corporate Auto,Four-Door Car,$42.92
FV94802,Nevada,NA,High School or Below,25049,$67.00,Personal Auto,Two-Door Car,$454.25
OE15005,California,NA,College,28855,$101.00,Personal Auto,SUV,$647.44
WC83389,Oregon,NA,College,51148,$72.00,Personal Auto,Four-Door Car,$308.98
FL50705,California,NA,High School or Below,66140,$101.00,Corporate Auto,Four-Door Car,$484.80
ZK25313,Oregon,NA,High School or Below,57749,$74.00,Personal Auto,Two-Door Car,$355.20
QK46697,Washington,M,Bachelor,61040,$79.00,Personal Auto,Two-Door Car,$20.38
YH23384,Arizona,NA,Bachelor,14072,$71.00,Personal Auto,Four-Door Car,$511.20
TZ98966,Nevada,NA,Bachelor,0,$73.00,Corporate Auto,Four-Door Car,$554.38
HM55802,California,NA,Bachelor,17870,$61.00,Corporate Auto,Four-Door Car,$439.20
FS42516,Oregon,NA,College,97541,$72.00,Personal Auto,Four-Door Car,$389.19
US89481,California,NA,Bachelor,0,$111.00,Personal Auto,Four-Door Car,$799.20
HS14476,Washington,M,College,29723,$80.00,Personal Auto,Four-Door Car,$20.99
GE62437,Arizona,NA,College,86584,$111.00,Personal Auto,Four-Door Car,$532.80
EJ77678,Oregon,NA,Master,75690,$80.00,Personal Auto,Four-Door Car,$384.00
SV85652,Arizona,NA,College,23158,$63.00,Personal Auto,Four-Door Car,$322.29
UL64533,Nevada,NA,High School or Below,65999,$237.00,Corporate Auto,Luxury SUV,$615.93
PF41800,California,NA,Bachelor,0,$65.00,Personal Auto,Four-Door Car,$308.15
HD95276,Washington,F,College,0,$130.00,Personal Auto,SUV,$23.82
SK67821,Oregon,NA,Bachelor,37260,$62.00,Corporate Auto,Four-Door Car,$15.44
YV55495,Arizona,NA,High School or Below,68987,$71.00,Personal Auto,Four-Door Car,$204.48
KY38074,California,NA,Bachelor,42305,$117.00,Personal Auto,Four-Door Car,$561.60
DM79012,Oregon,NA,Master,65706,$91.00,Personal Auto,Four-Door Car,$436.80
CM61827,Oregon,NA,Bachelor,0,$90.00,Personal Auto,Two-Door Car,$648.00
WC35801,Arizona,NA,High School or Below,53243,$66.00,Personal Auto,Four-Door Car,$157.40
QG25316,Nevada,NA,High School or Below,0,$70.00,Corporate Auto,Two-Door Car,$484.32
MB98372,Oregon,NA,College,50071,$71.00,Corporate Auto,Two-Door Car,$18.92
IL19217,California,NA,Bachelor,60021,$99.00,Personal Auto,Four-Door Car,$882.87
SR38658,Arizona,NA,High School or Below,43244,$103.00,Personal Auto,Sports Car,$494.40
YD87931,Washington,M,Doctor,46896,"$35,354.00",Personal Auto,Four-Door Car,$31.71
HG65722,Oregon,NA,Doctor,10105,$172.00,Personal Auto,SUV,$0.52
BU27331,Arizona,NA,Bachelor,0,$73.00,Personal Auto,Four-Door Car,$579.17
XM45289,Oregon,NA,High School or Below,23218,$71.00,Personal Auto,Two-Door Car,$447.79
KP34198,California,NA,Bachelor,0,$92.00,Corporate Auto,Four-Door Car,$529.62
SH90947,Arizona,NA,High School or Below,0,$62.00,Personal Auto,Four-Door Car,$313.02
WE95729,Oregon,NA,College,24804,$104.00,Personal Auto,SUV,$593.83
PY51963,California,NA,Bachelor,33190,$106.00,Corporate Auto,SUV,$508.80
RB69909,Nevada,NA,High School or Below,36014,$69.00,Special Auto,Four-Door Car,$173.96
NW21079,Washington,F,Master,67163,$61.00,Personal Auto,Two-Door Car,$33.19
FR46645,California,NA,Bachelor,16701,$113.00,Personal Auto,Four-Door Car,$831.63
SY17488,Arizona,NA,College,46623,$91.00,Corporate Auto,Four-Door Car,$436.80
AP67935,California,NA,College,64749,$64.00,Special Auto,Four-Door Car,$302.57
FS37417,Arizona,NA,High School or Below,0,$101.00,Personal Auto,SUV,$484.80
ML29312,Oregon,NA,High School or Below,16969,$124.00,Personal Auto,SUV,$704.77
UB61619,Oregon,NA,Master,11621,$108.00,Personal Auto,Four-Door Car,$518.40
CD86811,Arizona,NA,Bachelor,17622,$65.00,Personal Auto,Four-Door Car,$312.00
RU83859,California,NA,Bachelor,11489,$105.00,Personal Auto,Two-Door Car,$504.00
FG63582,Oregon,NA,Bachelor,0,$94.00,Personal Auto,Two-Door Car,$863.33
NN71951,California,NA,High School or Below,66525,$100.00,Personal Auto,SUV,$104.33
WB37082,Arizona,NA,Bachelor,0,$63.00,Personal Auto,Four-Door Car,$676.39
SM52139,Washington,NA,College,33663,$73.00,Personal Auto,Four-Door Car,$350.40
FL82372,Oregon,NA,College,22547,$112.00,Corporate Auto,SUV,$537.60
DP45816,Arizona,NA,High School or Below,61486,$97.00,Personal Auto,Two-Door Car,$465.26
GW33762,Oregon,NA,Bachelor,0,$95.00,Personal Auto,Two-Door Car,$456.00
RZ33670,California,NA,College,29879,$102.00,Personal Auto,Four-Door Car,$500.25
PY70169,Oregon,NA,High School or Below,93011,$113.00,Personal Auto,SUV,$281.45
MO91628,Oregon,NA,Master,65186,$65.00,Personal Auto,Two-Door Car,$5.43
HW87852,Oregon,NA,Master,26840,$64.00,Personal Auto,Four-Door Car,$307.20
HB20453,Oregon,NA,Bachelor,0,$104.00,Personal Auto,Sports Car,$982.40
BN87372,Oregon,NA,Bachelor,75644,$65.00,Personal Auto,Two-Door Car,$467.80
YX23800,Oregon,NA,Bachelor,38984,$73.00,Personal Auto,Four-Door Car,$350.40
DZ87709,Oregon,NA,High School or Below,71811,$71.00,Personal Auto,Four-Door Car,$29.03
XW13033,Nevada,NA,College,20961,$67.00,Personal Auto,Four-Door Car,$321.60
SP81997,Washington,F,Master,41275,$96.00,Personal Auto,Four-Door Car,$41.12
OM82309,California,NA,Bachelor,61321,$186.00,Personal Auto,Luxury Car,$427.63
ZU35962,California,NA,College,0,$77.00,Personal Auto,Two-Door Car,$25.81
VH85817,California,NA,High School or Below,51066,$74.00,Personal Auto,Four-Door Car,$787.99
DT85712,California,NA,Doctor,34378,$102.00,Personal Auto,SUV,$489.60
YJ88573,Nevada,NA,Master,43072,$63.00,Personal Auto,Four-Door Car,$302.40
SQ19467,Oregon,NA,College,25222,$90.00,Personal Auto,Four-Door Car,$475.62
