File,Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
file1.csv,RB50392,Washington,NA,Master,,0,1000.0,1/0/00,Personal Auto,Four-Door Car,2.704934
file1.csv,QZ44356,Arizona,F,Bachelor,697953.59%,0,94.0,1/0/00,Personal Auto,Four-Door Car,1131.464935
file1.csv,AI49188,Nevada,F,Bachelor,1288743.17%,48767,108.0,1/0/00,Personal Auto,Two-Door Car,566.472247
file1.csv,WW63253,California,M,Bachelor,764586.18%,0,106.0,1/0/00,Corporate Auto,SUV,529.881344
file1.csv,GA49547,Washington,M,High School or Below,536307.65%,36357,68.0,1/0/00,Personal Auto,Four-Door Car,17.269323
file1.csv,OC83172,Oregon,F,Bachelor,825629.78%,62902,69.0,1/0/00,Personal Auto,Two-Door Car,159.383042
file1.csv,XZ87318,Oregon,F,College,538089.86%,55350,67.0,1/0/00,Corporate Auto,Four-Door Car,321.6
file1.csv,CF85061,Arizona,M,Master,721610.03%,0,101.0,1/0/00,Corporate Auto,Four-Door Car,363.02968
file1.csv,DY87989,Oregon,M,Bachelor,2412750.40%,14072,71.0,1/0/00,Corporate Auto,Four-Door Car,511.2
file1.csv,BQ94931,Oregon,F,College,738817.81%,28812,93.0,1/0/00,Special Auto,Four-Door Car,425.527834
file1.csv,SX51350,California,M,College,473899.20%,0,67.0,1/0/00,Personal Auto,Four-Door Car,482.4
file1.csv,VQ65197,California,NA,College,819719.71%,0,110.0,1/0/00,Personal Auto,SUV,528
file1.csv,DP39365,California,NA,Master,879879.70%,77026,110.0,1/2/00,Corporate Auto,Four-Door Car,472.029737
file1.csv,SJ95423,Arizona,NA,High School or Below,881901.89%,99845,110.0,1/1/00,Corporate Auto,SUV,528
file1.csv,IL66569,California,NA,College,538443.17%,83689,70.0,1/2/00,Corporate Auto,Four-Door Car,307.139132
file1.csv,BW63560,Oregon,NA,Bachelor,746313.94%,24599,64.0,1/1/00,Corporate Auto,Four-Door Car,42.920271
file1.csv,FV94802,Nevada,NA,High School or Below,256686.78%,25049,67.0,1/0/00,Personal Auto,Two-Door Car,454.245098
file1.csv,OE15005,California,NA,College,394524.16%,28855,101.0,1/0/00,Personal Auto,SUV,647.442031
file1.csv,WC83389,Oregon,NA,College,571033.31%,51148,72.0,1/0/00,Personal Auto,Four-Door Car,308.981664
file1.csv,FL50705,California,NA,High School or Below,816261.71%,66140,101.0,1/0/00,Corporate Auto,Four-Door Car,484.8
file1.csv,ZK25313,Oregon,NA,High School or Below,287205.13%,57749,74.0,1/0/00,Personal Auto,Two-Door Car,355.2
file1.csv,QK46697,Washington,M,Bachelor,617710.93%,61040,79.0,1/1/00,Personal Auto,Two-Door Car,20.382876
file1.csv,YH23384,Arizona,NA,Bachelor,2412750.40%,14072,71.0,1/0/00,Personal Auto,Four-Door Car,511.2
file1.csv,TZ98966,Nevada,NA,Bachelor,245019.10%,0,73.0,1/3/00,Corporate Auto,Four-Door Car,554.376763
file1.csv,HM55802,California,NA,Bachelor,239210.79%,17870,61.0,1/0/00,Corporate Auto,Four-Door Car,439.2
file1.csv,FS42516,Oregon,NA,College,580206.60%,97541,72.0,1/0/00,Personal Auto,Four-Door Car,389.185006
file1.csv,US89481,California,NA,Bachelor,394637.21%,0,111.0,1/0/00,Personal Auto,Four-Door Car,799.2
file1.csv,HS14476,Washington,M,College,916206.32%,29723,80.0,1/0/00,Personal Auto,Four-Door Car,20.985105
file1.csv,GE62437,Arizona,NA,College,1290256.01%,86584,111.0,1/2/00,Personal Auto,Four-Door Car,532.8
file1.csv,EJ77678,Oregon,NA,Master,323536.05%,75690,80.0,1/1/00,Personal Auto,Four-Door Car,384
file1.csv,SV85652,Arizona,NA,College,245458.35%,23158,63.0,1/1/00,Personal Auto,Four-Door Car,322.294043
file1.csv,UL64533,Nevada,NA,High School or Below,1897545.61%,65999,237.0,1/0/00,Corporate Auto,Luxury SUV,615.927769
file1.csv,PF41800,California,NA,Bachelor,471532.13%,0,65.0,1/0/00,Personal Auto,Four-Door Car,308.15089
file1.csv,HD95276,Washington,F,College,473787.17%,0,130.0,1/0/00,Personal Auto,SUV,23.820158
